,Survey year,Unitid,Institution name,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Location,There are no data to download.
6,2014.0,191241.0,Fordham University,7.0,Louis Calder Center,15231.0,0.0,0.0,0.0,Public_Property,
7,2015.0,191241.0,Fordham University,1.0,Main Campus,15286.0,0.0,0.0,0.0,Public_Property,
8,2015.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15286.0,0.0,0.0,0.0,Public_Property,
9,2015.0,191241.0,Fordham University,3.0,Fordham University - Westchester Campus,15286.0,0.0,0.0,0.0,Public_Property,
10,2015.0,191241.0,Fordham University,4.0,Fordham in London,15286.0,0.0,0.0,0.0,Public_Property,
11,2015.0,191241.0,Fordham University,5.0,Forham in Granada,15286.0,0.0,0.0,0.0,Public_Property,
12,2015.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15286.0,0.0,0.0,0.0,Public_Property,
13,2015.0,191241.0,Fordham University,7.0,Louis Calder Center,15286.0,0.0,0.0,0.0,Public_Property,
14,2016.0,191241.0,Fordham University,1.0,Main Campus,15582.0,0.0,0.0,0.0,Public_Property,
15,2016.0,191241.0,Fordham University,2.0,FORDHAM UNI-LINCOLN CENTER CAMPUS,15582.0,0.0,0.0,0.0,Public_Property,
16,2016.0,191241.0,Fordham University,3.0,Fordham University - Westchester Campus,15582.0,0.0,0.0,0.0,Public_Property,
17,2016.0,191241.0,Fordham University,4.0,Fordham in London,15582.0,0.0,0.0,0.0,Public_Property,
18,2016.0,191241.0,Fordham University,5.0,Forham in Granada,15582.0,0.0,0.0,0.0,Public_Property,
19,2016.0,191241.0,Fordham University,6.0,Fordham in Pretoria,15582.0,0.0,0.0,0.0,Public_Property,
20,2016.0,191241.0,Fordham University,7.0,Louis Calder Center,15582.0,0.0,0.0,0.0,Public_Property,
0,2014.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,23109.0,0.0,1.0,0.0,Noncampus,
1,2015.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,25034.0,0.0,0.0,1.0,Noncampus,
2,2016.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,26839.0,0.0,0.0,0.0,Noncampus,
0,2014.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,23109.0,3.0,6.0,8.0,On_campus,
1,2015.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,25034.0,3.0,5.0,9.0,On_campus,
2,2016.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,26839.0,3.0,7.0,7.0,On_campus,
0,2014.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,23109.0,2.0,6.0,4.0,On_campus_Student_Housing_Facilities,
1,2015.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,25034.0,1.0,1.0,3.0,On_campus_Student_Housing_Facilities,
2,2016.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,26839.0,2.0,3.0,2.0,On_campus_Student_Housing_Facilities,
0,2014.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,23109.0,0.0,0.0,0.0,Public_Property,
1,2015.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,25034.0,0.0,0.0,0.0,Public_Property,
2,2016.0,139755.0,Georgia Institute of Technology-Main Campus,1.0,Main Campus,26839.0,0.0,1.0,0.0,Public_Property,
0,2014.0,139940.0,Georgia State University,1.0,Main Campus,32556.0,0.0,1.0,4.0,Noncampus,
1,2015.0,139940.0,Georgia State University,1.0,Main Campus,32058.0,0.0,0.0,0.0,Noncampus,
2,2016.0,139940.0,Georgia State University,1.0,Main Campus,32237.0,0.0,0.0,0.0,Noncampus,
0,2014.0,139940.0,Georgia State University,1.0,Main Campus,32556.0,1.0,2.0,3.0,On_campus,
1,2015.0,139940.0,Georgia State University,1.0,Main Campus,32058.0,0.0,0.0,1.0,On_campus,
2,2016.0,139940.0,Georgia State University,1.0,Main Campus,32237.0,0.0,0.0,3.0,On_campus,
0,2014.0,139940.0,Georgia State University,1.0,Main Campus,32556.0,0.0,2.0,1.0,On_campus_Student_Housing_Facilities,
1,2015.0,139940.0,Georgia State University,1.0,Main Campus,32058.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
2,2016.0,139940.0,Georgia State University,1.0,Main Campus,32237.0,0.0,0.0,0.0,On_campus_Student_Housing_Facilities,
0,2014.0,139940.0,Georgia State University,1.0,Main Campus,32556.0,0.0,0.0,0.0,Public_Property,
1,2015.0,139940.0,Georgia State University,1.0,Main Campus,32058.0,0.0,0.0,0.0,Public_Property,
2,2016.0,139940.0,Georgia State University,1.0,Main Campus,32237.0,0.0,0.0,0.0,Public_Property,
0,2014.0,209056.0,Lewis & Clark College,1.0,Main Campus,3504.0,0.0,0.0,0.0,Noncampus,
1,2015.0,209056.0,Lewis & Clark College,1.0,Main Campus,3526.0,0.0,0.0,0.0,Noncampus,
2,2016.0,209056.0,Lewis & Clark College,1.0,Main Campus,3419.0,0.0,0.0,0.0,Noncampus,
0,2014.0,209056.0,Lewis & Clark College,1.0,Main Campus,3504.0,0.0,1.0,1.0,On_campus,
1,2015.0,209056.0,Lewis & Clark College,1.0,Main Campus,3526.0,0.0,2.0,4.0,On_campus,
2,2016.0,209056.0,Lewis & Clark College,1.0,Main Campus,3419.0,1.0,0.0,2.0,On_campus,
0,2014.0,209056.0,Lewis & Clark College,1.0,Main Campus,3504.0,0.0,1.0,1.0,On_campus_Student_Housing_Facilities,
1,2015.0,209056.0,Lewis & Clark College,1.0,Main Campus,3526.0,0.0,1.0,4.0,On_campus_Student_Housing_Facilities,
2,2016.0,209056.0,Lewis & Clark College,1.0,Main Campus,3419.0,1.0,0.0,2.0,On_campus_Student_Housing_Facilities,
0,2014.0,209056.0,Lewis & Clark College,1.0,Main Campus,3504.0,0.0,0.0,0.0,Public_Property,
1,2015.0,209056.0,Lewis & Clark College,1.0,Main Campus,3526.0,0.0,0.0,0.0,Public_Property,
2,2016.0,209056.0,Lewis & Clark College,1.0,Main Campus,3419.0,0.0,0.0,0.0,Public_Property,
0,2014.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,18756.0,0.0,0.0,0.0,Noncampus,
1,2015.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,18825.0,0.0,0.0,0.0,Noncampus,
2,2016.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,17661.0,0.0,0.0,0.0,Noncampus,
0,2014.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,18756.0,0.0,0.0,0.0,On_campus,
1,2015.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,18825.0,2.0,0.0,0.0,On_campus,
2,2016.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,17661.0,0.0,0.0,0.0,On_campus,
0,2014.0,117788.0,Los Angeles City College,1.0,Los Angeles City College,18756.0,0.0,0.0,0.0,Public_Property,
